nameRec,UnifiedPlusInd
Taraxacum sagittipotens,Taraxacum agg.
Taraxacum sect. Erythrosperma,Taraxacum agg.
Taraxacum xanthostigma,Taraxacum agg.
Taxus,Taxus baccata
Taxus baccata,Taxus baccata
Tellima grandiflora,Tellima grandiflora
Tephroseris integrifolia,Inula conyzae
Teucrium,Teucrium
Teucrium chamaedrys x lucidum,Teucrium
Teucrium scordium,Teucrium scordium
Teucrium scorodonia,Teucrium scorodonia
Thalictrum flavum,Thalictrum flavum
Thalictrum minus,Thalictrum minus
Thelypteris,Thelypteris palustris
Thelypteris palustris,Thelypteris palustris
Thlaspi arvense,Thlaspi arvense
Thuja,Thuja plicata
Thuja plicata,Thuja plicata
Thymus,Thymus polytrichus/pulegioides
Thymus polytrichus,Thymus polytrichus/pulegioides
Thymus polytrichus subsp. britannicus,Thymus polytrichus/pulegioides
Thymus polytrichus/pulegioides,Thymus polytrichus/pulegioides
Thymus serpyllum,Thymus serpyllum
Thymus vulgaris,Thymus polytrichus/pulegioides
Tilia,Tilia platyphyllos x cordata = T. x europaea
Tilia cordata,Tilia cordata
Tilia platyphyllos,Tilia platyphyllos
Tilia platyphyllos x cordata = T. x europaea,Tilia platyphyllos x cordata = T. x europaea
Torilis arvensis,Torilis arvensis
Torilis japonica,Torilis japonica
Torilis nodosa,Torilis nodosa
Tragopogon,Tragopogon pratensis
Tragopogon porrifolius,Tragopogon porrifolius
Tragopogon pratensis,Tragopogon pratensis
Trichophorum,Trichophorum cespitosum
Trichophorum caespitosum s.lat.,Trichophorum cespitosum
Trichophorum cespitosum subsp. nothofoersteri (cespitosum x germanicum),Trichophorum cespitosum
Trichophorum germanicum s.str.,Trichophorum cespitosum
Trientalis europaea,Trientalis europaea
Trifolium,Trifolium
Trifolium albidum,Trifolium repens
Trifolium arvense,Trifolium arvense
Trifolium campestre,Trifolium campestre
Trifolium dubium,Trifolium dubium
Trifolium fragiferum,Trifolium fragiferum
Trifolium hybridum,Trifolium hybridum
Trifolium medium,Trifolium medium
Trifolium micranthum,Trifolium micranthum
Trifolium occidentale,Trifolium occidentale
Trifolium ornithopodioides,Trifolium ornithopodioides
Trifolium pratense,Trifolium pratense
Trifolium pratense var. pratense,Trifolium pratense
Trifolium pratense var. sativum,Trifolium pratense
Trifolium repens,Trifolium repens
Trifolium repens var. townsendi,Trifolium repens
Trifolium retusum,Trifolium retusum
Trifolium scabrum,Trifolium scabrum
Trifolium subterraneum,Trifolium subterraneum
Triglochin maritimum,Triglochin maritimum
Triglochin palustre,Triglochin palustre
Trinia glauca,Trinia glauca
Tripleurospermum,Tripleurospermum inodorum
Tripleurospermum inodorum,Tripleurospermum inodorum
Tripleurospermum maritimum,Tripleurospermum maritimum
Tripleurospermum maritimum sens.lat.,Tripleurospermum inodorum
Tripleurospermum maritimum x inodorum,Tripleurospermum inodorum
Trisetum flavescens,Trisetum flavescens
Trisetum flavescens subsp. purpurascens,Trisetum flavescens
Triticum,Triticum aestivum
Triticum aestivum,Triticum aestivum
Trollius europaeus,Trollius europaeus
Tropaeolum majus,Tropaeolum majus
Tsuga heterophylla,Tsuga heterophylla
Tussilago,Tussilago farfara
Tussilago farfara,Tussilago farfara
Typha,Typha angustifolia
Typha angustifolia,Typha angustifolia
Typha latifolia,Typha latifolia
Ulex,Ulex europaeus
Ulex europaeus,Ulex europaeus
Ulex gallii,Ulex gallii/minor
Ulex gallii/minor,Ulex gallii/minor
Ulex minor,Ulex gallii/minor
Ulmus,Ulmus
Ulmus aggregate,Ulmus
Ulmus glabra,Ulmus
Ulmus glabra x procera,Ulmus
Ulmus minor agg.,Ulmus
Ulmus procera,Ulmus
Umbellularia,Umbellularia
Umbilicus rupestris,Umbilicus rupestris
Urtica,Urtica dioica
Urtica dioica,Urtica dioica
Urtica dioica subsp. dioica,Urtica dioica
Urtica urens,Urtica urens
Utricularia vulgaris,Utricularia vulgaris
Vaccinium microcarpum,Vaccinium microcarpum
Vaccinium myrtillus,Vaccinium myrtillus
Vaccinium oxycoccos,Vaccinium oxycoccos
Vaccinium vitis-idaea,Vaccinium vitis-idaea
Valeriana,Valeriana officinalis
Valeriana dioica,Valeriana dioica
Valeriana officinalis,Valeriana officinalis
Valerianella,Valerianella locusta
Valerianella locusta,Valerianella locusta
Vancouveria planipetala,Vancouveria planipetala
Verbascum nigrum,Verbascum nigrum
Verbascum thapsus,Verbascum thapsus
Verbena officinalis,Verbena officinalis
Veronica,Veronica
Veronica agrestis,Veronica agrestis
Veronica alpina,Veronica alpina
Veronica anagallis-aquatica,Veronica anagallis-aquatica
Veronica arvensis,Veronica arvensis
Veronica beccabunga,Veronica beccabunga
Veronica catenata,Veronica catenata
Veronica chamaedrys,Veronica chamaedrys
Veronica filiformis,Veronica filiformis
Veronica hederifolia,Veronica hederifolia
Veronica montana,Veronica montana
Veronica officinalis,Veronica officinalis
Veronica persica,Veronica persica
Veronica polita,Veronica polita
Veronica scutellata,Veronica scutellata
Veronica serpyllifolia,Veronica serpyllifolia
Viburnum,Viburnum
Viburnum lantana,Viburnum lantana
Viburnum opulus,Viburnum opulus
Vicia,Vicia
Vicia benghalensis,Vicia
Vicia cracca,Vicia cracca
Vicia faba,Vicia faba
Vicia hirsuta,Vicia hirsuta
Vicia lathyroides,Vicia lathyroides
Vicia lutea,Vicia lutea
Vicia sativa,Vicia sativa
Vicia sativa subsp. nigra,Vicia sativa
Vicia sativa subsp. segetalis,Vicia sativa
Vicia sepium,Vicia sepium
Vicia spp.,Vicia
Vicia tetrasperma,Vicia tetrasperma
Vinca minor,Vinca minor
Viola,Viola
Viola arvensis,Viola arvensis
Viola canina,Viola canina
Viola hirta,Viola hirta
Viola lutea,Viola lutea
Viola odorata,Viola odorata
Viola palustris,Viola palustris
Viola reichenbachiana,Viola reichenbachiana/riviniana
Viola reichenbachiana/riviniana,Viola reichenbachiana/riviniana
Viola riviniana,Viola reichenbachiana/riviniana
Viola rupestris,Viola rupestris
Viola tricolor,Viola tricolor
Viola tricolor subsp. tricolor,Viola tricolor
Viola tricolor x arvensis = V. x contempta,Viola tricolor
Violaceae,Viola
Vulpia,Vulpia
Vulpia bromoides,Vulpia bromoides
Vulpia ciliata subsp. ambigua,Vulpia ciliata subsp. ambigua
Vulpia myuros,Vulpia myuros
Wahlenbergia hederacea,Wahlenbergia hederacea
Zea mays,Zea mays
Zostera (Zostera) marina,Zostera (Zostera) marina
